### cachedCount cachedAudioSize  cachedAudio_download_duration(msecs) bandwidth(BPS) parseDurationUs(usecs) auCount auSize

1 	 512129 	 9367 	 54673 	 605 	 2984 	 1044192
2 	 513610 	 10023 	 51238 	 168 	 3006 	 1051039
3 	 532281 	 10228 	 52039 	 178 	 3097 	 1082901
4 	 512279 	 6037 	 84848 	 85 	 3067 	 1072707
5 	 512678 	 11247 	 45580 	 183 	 3090 	 1081817
6 	 512091 	 5784 	 88522 	 130 	 3166 	 1107999
7 	 514844 	 7906 	 65119 	 68 	 2961 	 1036086
8 	 544435 	 7546 	 72147 	 154 	 3027 	 1059727
9 	 512108 	 10758 	 47599 	 174 	 3141 	 1099995
10 	 513549 	 10628 	 48319 	 102 	 2913 	 1019211
11 	 512946 	 9924 	 51685 	 137 	 2909 	 1017417
12 	 512174 	 7666 	 66807 	 109 	 2911 	 1017526
13 	 514407 	 10328 	 49804 	 118 	 2876 	 1005560
14 	 515039 	 5421 	 94996 	 146 	 3071 	 1074252
15 	 516637 	 8718 	 59258 	 63 	 2870 	 1003794
16 	 519756 	 11612 	 44758 	 200 	 3008 	 1051896
17 	 520572 	 4086 	 127397 	 46 	 2899 	 1013496
18 	 515046 	 7826 	 65804 	 91 	 2859 	 999842
19 	 512867 	 8136 	 63034 	 147 	 2950 	 1031402
20 	 515354 	 8797 	 58577 	 55 	 2738 	 957302
21 	 512047 	 7636 	 67052 	 173 	 2946 	 1029246
22 	 512257 	 9897 	 51754 	 92 	 2755 	 962633
23 	 518356 	 7692 	 67387 	 102 	 2813 	 982251
24 	 513297 	 9515 	 53946 	 126 	 2813 	 982582
25 	 512055 	 11780 	 43467 	 49 	 2399 	 837808
26 	 514512 	 10095 	 50964 	 69 	 2216 	 774469
27 	 522954 	 13573 	 38527 	 74 	 1965 	 688630
28 	 513236 	 10629 	 48282 	 64 	 1720 	 603239
29 	 513476 	 8887 	 57775 	 78 	 1755 	 615149
30 	 518912 	 10850 	 47825 	 62 	 1408 	 493593
31 	 512972 	 16908 	 30338 	 52 	 959 	 335211
32 	 514603 	 7653 	 67237 	 50 	 979 	 342596
33 	 518146 	 8570 	 60457 	 77 	 988 	 345994
34 	 517660 	 10896 	 47506 	 64 	 923 	 322454
35 	 514352 	 7729 	 66541 	 70 	 1031 	 360524
36 	 516751 	 5750 	 89866 	 44 	 879 	 307214
37 	 514646 	 7951 	 64725 	 76 	 919 	 321067
38 	 513333 	 7188 	 71410 	 74 	 1019 	 355973
39 	 513392 	 5146 	 99756 	 58 	 1020 	 356727
40 	 514245 	 6694 	 76815 	 26 	 890 	 311508
41 	 514819 	 8600 	 59861 	 59 	 964 	 337241
42 	 512228 	 7823 	 65476 	 66 	 1024 	 358637
43 	 516276 	 7205 	 71645 	 37 	 813 	 284882
44 	 514085 	 12508 	 41097 	 60 	 554 	 193420
45 	 512081 	 3154 	 162328 	 23 	 524 	 182827
46 	 514868 	 5788 	 88951 	 44 	 587 	 205035
47 	 512879 	 6351 	 80754 	 20 	 432 	 151007
48 	 515027 	 6078 	 84729 	 47 	 546 	 190733
49 	 522004 	 3727 	 140038 	 31 	 554 	 193567
50 	 515618 	 4151 	 124207 	 42 	 541 	 188960
51 	 513592 	 4840 	 106113 	 25 	 504 	 176017
52 	 512255 	 8493 	 60311 	 61 	 502 	 175421
53 	 513559 	 7552 	 68002 	 66 	 578 	 201670
54 	 512136 	 6281 	 81527 	 56 	 626 	 217844
55 	 512126 	 5184 	 98774 	 27 	 551 	 192234
56 	 514991 	 7279 	 70748 	 49 	 578 	 202239
57 	 512022 	 7077 	 72342 	 55 	 498 	 174377
58 	 514076 	 4978 	 103257 	 51 	 594 	 208773
59 	 516067 	 3931 	 131275 	 36 	 546 	 191376
60 	 515865 	 7583 	 68026 	 15 	 283 	 98702
61 	 513467 	 7353 	 69826 	 82 	 328 	 115315
62 	 513229 	 4747 	 108107 	 25 	 257 	 90627
63 	 512235 	 7734 	 66229 	 69 	 212 	 74311
64 	 513475 	 11747 	 43708 	 102 	 532 	 187823
65 	 512028 	 11533 	 44395 	 121 	 804 	 282763
66 	 513320 	 4412 	 116329 	 38 	 769 	 270891
67 	 512161 	 4373 	 117109 	 39 	 695 	 244637
68 	 520689 	 5193 	 100263 	 36 	 661 	 232705
69 	 514265 	 7317 	 70276 	 82 	 800 	 283269
70 	 512189 	 4476 	 114424 	 25 	 768 	 272937
71 	 513188 	 4550 	 112778 	 27 	 725 	 257255
72 	 517054 	 6807 	 75949 	 51 	 559 	 197967
73 	 512343 	 10068 	 50884 	 56 	 588 	 207075
74 	 512578 	 13946 	 36753 	 85 	 363 	 128341
75 	 514510 	 4306 	 119470 	 19 	 310 	 109574
76 	 514025 	 5738 	 89578 	 20 	 210 	 73373
77 	 521443 	 10355 	 50353 	 100 	 617 	 218194
78 	 514513 	 7328 	 70209 	 24 	 404 	 142920
79 	 512172 	 6067 	 84418 	 56 	 512 	 181562
80 	 512154 	 9125 	 56125 	 36 	 323 	 113824
